game_no,team,opp,result,location,FG,FGA,x2P,x2PA,x3P,x3PA,FT,FTA,PTS
365,ATL,CHO,L,H,37,84,25,47,12,37,4,10,90
366,CHO,ATL,W,H,40,80,28,50,12,30,13,20,105
367,DEN,HOU,L,H,44,86,32,57,12,29,24,26,124
368,HOU,DEN,W,H,45,89,28,51,17,38,18,23,125
369,IND,UTA,W,H,38,87,28,67,10,20,21,23,107
370,UTA,IND,L,H,40,88,34,63,6,25,14,20,100
371,LAC,NYK,W,H,43,87,33,56,10,31,18,24,114
372,NYK,LAC,L,H,40,89,34,65,6,24,19,24,105
373,GSW,OKC,W,H,40,83,25,50,15,33,16,21,111
374,OKC,GSW,L,H,37,87,33,66,4,21,17,31,95
375,ORL,PHI,W,H,35,94,31,71,4,23,38,46,112
376,PHI,ORL,L,H,39,102,30,68,9,34,22,24,109
377,BRK,DAL,L,H,31,72,18,41,13,31,29,38,104
378,DAL,BRK,W,H,41,76,31,51,10,25,19,25,111
379,DET,PHO,W,H,40,92,28,67,12,25,20,30,112
380,PHO,DET,L,H,35,99,29,77,6,22,19,30,95
381,CLE,LAL,W,H,45,85,32,49,13,36,22,27,125
382,LAL,CLE,L,H,47,91,36,64,11,27,15,19,120
383,MIA,POR,L,H,41,88,32,58,9,30,13,20,104
384,POR,MIA,W,H,42,83,29,57,13,26,18,24,115
385,MIN,NOP,L,H,44,86,35,61,9,25,12,17,109
386,NOP,MIN,W,H,49,90,35,60,14,30,11,15,123
387,BOS,PHI,L,H,34,84,28,55,6,29,25,29,99
388,PHI,BOS,W,H,41,88,29,55,12,33,11,15,105
389,SAC,SAS,L,H,41,83,34,73,7,10,13,17,102
390,SAS,SAC,W,H,43,87,32,59,11,28,21,27,118
391,IND,TOR,L,H,33,80,27,57,6,23,19,26,91
392,TOR,IND,W,H,45,91,33,64,12,27,14,16,116
393,ATL,POR,L,H,32,88,25,62,7,26,26,32,97
394,POR,ATL,W,H,44,87,36,69,8,18,17,19,113
395,CHI,UTA,W,H,38,80,31,61,7,19,12,14,95
396,UTA,CHI,L,H,31,81,24,56,7,25,17,25,86
397,CHO,WAS,W,H,35,82,26,58,9,24,19,27,98
398,WAS,CHO,L,H,29,79,18,46,11,33,24,31,93
399,DEN,HOU,L,H,38,89,28,58,10,31,19,30,105
400,HOU,DEN,W,H,38,83,33,59,5,24,28,35,109
401,GSW,MIL,W,H,45,75,33,52,12,23,15,19,117
402,MIL,GSW,L,H,36,89,27,62,9,27,11,14,92
403,CLE,LAC,L,H,32,83,27,56,5,27,9,13,78
404,LAC,CLE,W,H,40,78,32,52,8,26,20,29,108
405,MEM,SAS,W,H,32,76,19,46,13,30,27,31,104
406,SAS,MEM,L,H,33,75,24,47,9,28,21,22,96
407,OKC,SAC,W,H,41,82,31,56,10,26,18,25,110
408,SAC,OKC,L,H,35,85,30,64,5,21,19,23,94
409,BOS,BRK,W,H,34,85,27,56,7,29,23,29,98
410,BRK,BOS,L,H,30,83,19,48,11,35,24,30,95
411,DET,TOR,L,H,29,83,26,63,3,20,14,21,75
412,TOR,DET,W,H,30,78,21,51,9,27,18,20,87
413,LAL,MIL,L,H,38,84,27,55,11,29,16,26,103
414,MIL,LAL,W,H,40,82,36,58,4,24,23,30,107
415,MIA,MIN,W,H,50,85,42,59,8,26,15,19,123
416,MIN,MIA,L,H,41,82,39,70,2,12,21,22,105
417,HOU,NOP,L,H,37,91,24,51,13,40,25,32,112
418,NOP,HOU,W,H,49,92,37,58,12,34,18,24,128
419,DAL,PHI,L,H,30,87,25,64,5,23,9,17,74
420,PHI,DAL,W,H,42,80,30,51,12,29,20,23,116
421,ORL,PHO,W,H,42,96,35,73,7,23,18,21,109
422,PHO,ORL,L,H,38,87,36,73,2,14,25,30,103
423,CHI,WAS,L,H,44,88,37,61,7,27,12,18,107
424,WAS,CHI,W,H,46,101,36,75,10,26,10,12,112
425,ATL,MEM,L,H,29,71,21,44,8,27,25,34,91
426,MEM,ATL,W,H,39,92,29,64,10,28,15,18,103
427,CLE,UTA,W,H,36,86,27,53,9,33,10,19,91
428,UTA,CLE,L,H,34,82,29,61,5,21,10,14,83
429,DEN,LAC,W,H,46,86,31,58,15,28,22,26,129
430,LAC,DEN,L,H,44,84,28,52,16,32,10,15,114
431,GSW,ORL,W,H,50,87,40,61,10,26,12,23,122
432,ORL,GSW,L,H,35,94,28,67,7,27,15,21,92
433,BRK,NYK,W,H,41,86,31,54,10,32,29,35,121
434,NYK,BRK,L,H,41,88,38,70,3,18,25,26,110
435,OKC,TOR,W,H,47,88,33,63,14,25,15,19,123
436,TOR,OKC,L,H,37,81,32,61,5,20,23,30,102
437,BOS,MIN,W,H,43,79,30,46,13,33,18,21,117
438,MIN,BOS,L,H,40,91,32,64,8,27,16,20,104
439,CHI,MEM,L,H,34,91,23,63,11,28,12,15,91
440,MEM,CHI,W,H,36,85,25,54,11,31,15,18,98
441,DET,UTA,L,H,36,86,33,73,3,13,8,12,83
442,UTA,DET,W,H,36,77,23,49,13,28,12,16,97
443,HOU,LAL,W,H,50,91,32,48,18,43,21,32,139
444,LAL,HOU,L,H,42,91,39,66,3,25,13,18,100
445,CHO,IND,L,H,32,80,29,57,3,23,10,13,77
446,IND,CHO,W,H,39,73,27,45,12,28,8,9,98
447,LAC,MIL,L,H,35,75,30,51,5,24,21,29,96
448,MIL,LAC,W,H,34,76,24,47,10,29,19,25,97
449,MIA,NOP,W,H,44,87,28,52,16,35,16,19,120
450,NOP,MIA,L,H,42,88,33,66,9,22,19,28,112
451,PHO,SAC,L,H,43,107,37,82,6,25,9,14,101
452,SAC,PHO,W,H,38,79,32,65,6,14,25,34,107
453,POR,SAS,W,H,38,80,29,58,9,22,25,28,110
454,SAS,POR,L,H,42,88,31,62,11,26,11,15,106
455,DAL,WAS,W,H,40,79,26,47,14,32,18,25,112
456,WAS,DAL,L,H,40,82,28,52,12,30,15,21,107
457,BRK,OKC,L,H,33,71,21,47,12,24,26,30,104
458,OKC,BRK,W,H,44,89,34,67,10,22,24,34,122
459,CLE,DET,W,H,46,77,27,47,19,30,17,23,128
460,DET,CLE,L,H,37,99,33,80,4,19,18,19,96
461,GSW,PHI,W,H,32,88,18,56,14,32,28,35,106
462,PHI,GSW,L,H,39,89,31,62,8,27,18,27,104
463,NOP,POR,W,H,38,80,32,59,6,21,18,30,100
464,POR,NOP,L,H,23,76,12,44,11,32,20,26,77
465,IND,NYK,L,H,32,87,24,58,8,29,9,15,81
466,NYK,IND,W,H,35,83,26,55,9,28,8,13,87
